South Bounding, West Bounding, North Bounding, East Bounding
0.5057,11.8723,2.3886,13.9163
-0.9403,11.5653,0.9427,13.6096
-3.8346,14.0622,-1.9503,16.1115
-5.2801,13.7517,-3.3954,15.8045
-3.8372,9.432,-1.9522,11.4812
-0.9421,13.1323,0.9426,15.1776
-2.3878,12.8238,-0.5034,14.8703
-5.279,12.2031,-3.3944,14.2561
1.9516,9.0978,3.8363,11.1444
0.5013,8.7898,2.3858,10.8343
1.9491,13.7323,3.8343,15.7783
0.5033,13.4245,2.3879,15.4692
-0.943,13.1165,0.9419,15.1608
-2.3889,12.808,-0.5043,14.8534
-3.8348,12.4982,-1.9501,14.5466
1.9481,9.1103,3.8334,11.1571
-0.9441,8.4945,0.9409,10.5391
-2.3901,8.186,-0.5054,10.2314
1.9502,12.2072,3.8351,14.2534
-0.9407,10.0567,0.9444,12.1011
-2.3868,9.7481,-0.502,11.7936
1.9514,13.7572,3.8367,15.8037
0.5053,13.4495,2.3903,15.4942
-0.9409,13.1416,0.9439,15.1859
-2.3873,12.8327,-0.5022,14.8785
-3.8332,12.5231,-1.9484,14.5713
1.9502,12.2114,3.8353,14.258
0.5039,11.9041,2.3889,13.9486
-2.3886,14.3812,-0.5037,16.4269
-3.8348,14.0714,-1.9497,16.1203
-5.2808,13.7604,-3.3954,15.8128
1.9484,10.683,3.8336,12.7296
-0.9441,10.0672,0.9411,12.1123
1.9526,13.78,3.8374,15.8269
0.5018,13.4716,2.3868,15.517
-0.9444,13.1636,0.9406,15.2087
-2.3904,12.8546,-0.5056,14.901
1.9484,9.1429,3.8335,11.1905
0.5022,8.8349,2.3873,10.8813
-0.9439,8.5273,0.941,10.573
0.5045,11.9209,2.3897,13.9672
-0.9414,11.6127,0.9434,13.6588
-2.3877,11.3036,-0.5025,13.3509
-0.9444,13.1478,0.9407,15.1945
-2.3902,12.8392,-0.5055,14.8869
-5.282,12.2188,-3.3969,14.2733
1.9506,9.1337,3.8356,11.1817
-0.9415,8.5177,0.9433,10.5643
-2.3876,8.2087,-0.5027,10.2571
-3.8336,7.8994,-1.9484,9.9495
0.5041,11.9191,2.3894,13.9656
-3.8337,10.9924,-1.9486,13.0428
-5.2794,10.6818,-3.3943,12.7361
-3.8371,14.0769,-1.9517,16.1276
-5.2827,13.7668,-3.3975,15.8213
-0.9445,10.047,0.9407,12.0938
-2.3901,9.738,-0.5055,11.7865
-3.8363,9.4287,-1.951,11.4791
-0.9435,13.1335,0.9414,15.1803
-2.3898,12.825,-0.5045,14.8729
-3.8356,12.5154,-1.9507,14.5659
-5.2816,12.2042,-3.396,14.259
1.95,9.1098,3.8353,11.1582
0.5039,8.8026,2.3889,10.8496
-0.9422,8.4944,0.9427,10.5414
1.948,12.1999,3.8331,14.2483
0.5017,11.8924,2.3869,13.9394
